약용식물번호,식물분류명,약용식물종명,식물과명,식물종학명,삭물생태설명,약용식물분포설명,약용식물약재명,이용방법설명,약용식물효과설명,약용식물복용방법설명
139,피자식물/쌍자엽식물,돌나물,돌나물과(Crassulaceae),Sedum sarmentosum Bunge,약간 습기 있는 곳에 자라는 다년초로 밑에서 가지가 갈라져서 지면으로 벋고 마디에서 뿌리가 내린다. 잎은 3개씩 돌려나기하며 장타원형 또는 도피침형이고 윗부분이 둔하게 끝나며 가장자리가 밋밋하다. 꽃은 황색으로 피고 5∼6월 꽃자루가 곧추 자라 끝에 꽃이 많이 달린다. 열매는 골돌로 비스듬히 벌어진다. ☞ 화지의 잎이 3엽 돌려나기 또는 드물게 마주나기이다.,"한국(전국), 중국, 일본",석지갑(石指甲),전초를 봄부터 가을에 채취하여 햇볕에 말린다.,"간장병, 간염, 마른버짐, 기관지염, 대하증, 선혈, 옹종, 인후통증, 종독, 청열소종, 타박상, 해독, 해열, 허혈통, 화상, 황달",(내복): 탕전(湯煎)하거나 즙을 내어 복용한다. (외용): 짓찧어 상처 부위에 붙인다.
140,피자식물/쌍자엽식물,노루오줌,범의귀과(Saxifragaceae),Astilbe rubra Hook.f. & Thomson,산지의 습지 근처에 자라는 다년초로 높이 30∼70㎝이고 긴 갈색 털이 있으며 근경은 굵고 옆으로 짧게 벋는다. 잎은 3개씩 2∼3회 갈라지며 정소엽은 장난형 또는 장타원형으로 짧은 예두이며 심장저에 가깝고 가장자리에 겹 톱니가 있다. 꽃은 홍자색으로 7∼8월 원줄기 끝에 원추화서로 달린다. 열매는 튀는열매이다. ☞ 숙은노루오줌보다 소엽의 끝이 짧게 뾰족하며 화서의 곁가지는 비스듬이 위로 퍼지고 밑으로 쳐지지 않는다.,"한국(전국), 중국, 일본, 러시아, 몽고, 부탄",소승마(小升麻),전초를 여름부터 가을에 채취하여 햇볕에 말린다.,"거풍, 경혈, 관절통, 근골동통, 소염, 지해, 진통, 청열, 충독, 타박상, 풍, 해동, 해수, 해열, 활혈, 회충증",(내복): 탕전(湯煎)하여 복용한다.
141,피자식물/쌍자엽식물,괭이눈,범의귀과(Saxifragaceae),Chrysosplenium grayanum Maxim.,습지에 자라는 다년초로 꽃줄기 높이 5∼20㎝로서 뿌리에 돋는 잎이 없다. 잎은 마주나기하며 잎자루가 짧고 넓은 난형 또는 원형이며 안으로 굽는 톱니가 있다. 꽃은 연한 황록색으로 4∼5월에 핀다. 열매는 튀는열매로 깊게 2개로 갈라지고 종자는 다갈색으로 윤채가 있다. ☞ 애기꽹이눈에 비해 근엽이 없고 잎이 마주나기한다.,"한국(전국), 중국, 일본",금전고엽초(金錢苦葉草),전초를 채취하여 말린다.,"배농, 정창, 해독",(내복): 소금을 넣고 짓찧어 상처 부위에 붙인다.
142,피자식물/쌍자엽식물,수국,범의귀과(Saxifragaceae),Hydrangea macrophylla (Thunb.) Ser.,관상용으로 식재하는 낙엽관목으로 높이가 1m에 달하고 겨울 동안 윗부분이 고사한다. 잎은 마주나기하며 난형 또는 넓은 난형으로 윤채가 있고 예첨두 예저이며 가장자리에 톱니가 있다. 꽃은 6∼7월에 줄기 끝에 크고 둥근 산방화서로 달린다. 열매를 맺지 못한다. ☞ 꽃이 모두 중성화이다.,"한국(전국), 중국, 일본",팔선화(八仙花),"뿌리, 엽 및 꽃을 봄부터 가을에 채취하여 햇볕에 말린다.","강심제, 건위, 경련, 당뇨, 방광염, 번조, 신낭풍, 심열량계, 정혈, 진경, 학질, 한열왕래. 해수, 해열",(내복): 탕전(湯煎)하여 복용한다.
143,피자식물/쌍자엽식물,물매화,범의귀과(Saxifragaceae),Parnassia palustris L.,산기슭 양지의 습지에 자라는 다년초로 높이 20∼40㎝이다. 뿌리에서 돋는 잎이 잎자루가 길고 원심형이며 가장자리가 밋밋하고 줄기에 달린 잎은 잎자루가 없으며 원줄기를 감싼다. 꽃은 백색으로 7∼8월에 핀다. 열매는 튀는열매로 넓은 난형이다. ☞ 애기물매화보다 전체가 크고 헛수술 끝이 실 모양으로 갈라진다.,"한국(전국), 중국, 일본, 대만, 러시아, 히말라야, 유럽",매화초(梅花草),전초를 채취하여 말린다.,"동맥염, 소종해독, 창옹종, 청열양혈, 황달성간염",(내복): 탕전(湯煎)하여 복용한다.
164,피자식물/쌍자엽식물,옥매,장미과(Rosaceae),Prunus glandulosa for. albiplena Koehne,재배하는 낙엽관목으로 높이가 1.5m에 달하며 가지에 털이 없고 모여난다. 잎은 어긋나기하고 피침형 또는 장타원형이고 예두이며 넓은 예저이고 가장자리에 물결형의 잔톱니가 있다. 꽃은 백색으로 5월 잎과 같이 핀다. 열매는 둥글며 털이 없고 적색으로 익는다. ☞ 이스라지보다 잎이 피침형 또는 장타원형으로 둔한 잔 톱니가 있다.,"한국(남부), 중국",욱리인(郁李仁),"과실 성숙기에 채취, 과육을 제거하고 종인을 햇볕에 말린다.","각기, 만성변비, 완화, 윤장, 윤조활장, 이뇨, 전신부종, 하기행수, 하지근무력증, 해열",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다.
165,피자식물/쌍자엽식물,이스라지,장미과(Rosaceae),Prunus japonica var. nakaii (H.Lev.) Rehder,산야에 자라는 낙엽관목으로 높이가 1m에 달한다. 잎은 난형 또는 장타원형으로 급한 점첨두이며 원저 또는 예저이고 뒷면 맥 위에 잔털이 있고 가장자리에 겹톱니가 있다. 꽃은 연한 홍색으로 5월에 잎보다 먼저 피거나 같이 피고 산형으로 달린다. 열매는 핵과로 둥글며 털이 없다. ☞ 산옥매에 비해 잎이 난형 또는 타원형으로 뾰족하고 겹 톱니가 있다.,"한국(전국), 중국",욱리인(郁李仁),"과실 성숙기에 채취, 과육을 제거하고 종인을 햇볕에 말린다.","각기, 변비, 부종, 완화, 윤조활장, 이뇨, 이수, 진통, 치통, 하기, 해열, 황달",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다 ☞ 임산부는 주위 하여 사용한다.
166,피자식물/쌍자엽식물,매실나무,장미과(Rosaceae),Prunus mume (Siebold) Siebold & Zucc.,재배하는 낙엽소교목으로 높이가 5m에 달하고 잔가지는 녹색이다. 잎은 어긋나기하고 난형으로 긴 점첨두 원저이고 가장자리에 예리한 잔 톱니가 있다. 꽃은 연한 홍색으로 5월에 잎보다 먼저 피고 향기가 강하다. 열매는 핵과로 융모로 덮여 있고 7월에 황색으로 익는다. ☞ 살구나무보다 잎의 톱니가 균일하고 꽃은 잎자루가 거의 없다.,"한국(중남부), 중국",오매(烏梅),과실을 5∼6월경에 채취하여 40°C 정도의 불에 쬔다.,"간 기능회복, 강근골, 강장보호, 거담, 건위, 곽란, 목마름, 구내염, 구역질, 만성피로, 만성해수, 부인하혈, 소아두창, 아편중독, 역리, 위경련, 인두염, 자음, 자한, 장위카타르, 주독, 중독증, 진통, 치통, 타박상, 탄산토산, 편두통, 폐렴, 하리, 해열, 혈뇨, 화상, 후두염, 흥분제 등",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다.
167,피자식물/쌍자엽식물,귀룽나무,장미과(Rosaceae),Prunus padus L.,산골짜기 물가에 자라는 낙엽교목으로 높이가 15m에 달하고 어린 가지를 꺾으면 냄새가 난다. 잎은 타원형이고 첨두 또는 점첨두이며 원저이고 맥액에 털이 있고 가장자리에 잔 톱니가 있다. 꽃은 백색으로 5월에 총상화서로 달린다. 열매는 핵과로 둥글며 6월에 흑색으로 익는다. ☞ 개벚지나무보다 화서 밑에 잎이 달리고 잎 뒤에 선점이 없다.,"한국(전국), 중국, 일본, 러시아, 몽고",구룡목(九龍木),소지를 연중 채취하여 햇볕에 말린다.,"과식, 관절염, 관절통, 요통, 제습, 진통, 진해, 척추질환, 통경, 풍, 풍비",(내복): 탕전(湯煎)하거나 술에 담가 복용한다.
168,피자식물/쌍자엽식물,복사나무,장미과(Rosaceae),Prunus persica (L.) Batsch,재배하는 낙엽소교목으로 높이가 6m에 달하고 겨울눈에 털이 있다. 잎은 어긋나기하고 피침형으로 점첨두이고 넓은 예저이며 가장자리에 둔한 톱니가 있다. 꽃은 연한 홍색으로 4∼5월에 잎보다 먼저 1∼2개씩 달린다. 열매는 핵과로 난상원형이며 과육으로부터 잘 떨어지지 않는다. ☞ 자두나무와는 달리 정아가 있으며 과실에 털이 있다.,"한국(전국), 중국",도인(桃仁),과실 성숙기에 채취하여 종자만을 얻어 햇볕에 말린다.,"각기, 감기, 개선, 마른버짐, 경혈, 기관지염, 소아경간, 양모발약, 여드름, 열병, 요결석, 요통, 월경이상, 위경련, 윤피부, 음양음창, 자궁근종, 장염, 조현병, 주부습진, 치루, 통경, 편도선염, 폐기천식, 피부미백, 피부소양증, 홍조발진, 환각치료, 황달, 흉부냉증, 흉협통 등",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다.
169,피자식물/쌍자엽식물,자두나무,장미과(Rosaceae),Prunus salicina Lindl.,재배하는 낙엽교목으로 높이가 10m에 달하고 잔가지는 적갈색이며 털이 없고 윤채가 있다. 잎은 어긋나기하고 긴 도란형 또는 장난형이고 급한 점첨두이며 예저이고 가장자리에 둔한 톱니가 있다. 꽃은 백색으로 4월에 잎보다 먼저 핀다. 열매는 핵과로 구형이며 밑부분이 들어가고 종자는 도란형이다. ☞ 복사나무보다 정아는 발달하지 않고 자방과 과실에 털이 없다.,"한국(전국), 중국",이근(李根),뿌리껍질을 가을부터 봄에 채취하여 햇볕에 말린다.,"각기, 간작반, 강화, 건위, 구내염, 만성피로, 소아경풍, 정혈, 종독, 종통, 주체, 중풍, 충치, 치통, 통경, 편도선염, 폐렴, 풍치, 피부소양증, 해독, 해수, 해열",(내복): 탕전(湯煎)하여 복용한다.
170,피자식물/쌍자엽식물,벚나무,장미과(Rosaceae),Prunus serrulata for. spontanea (Maxim) E.H.Wilson,숲에 자라는 낙엽교목으로 높이가 20m에 달하고 나무껍질은 짙은 자갈색이다. 잎은 난형 또는 난상피침형이고 급첨두 또는 예두이며 넓은 예저이고 양면에 털이 없으며 가장자리에 톱니가 있다. 꽃은 4∼5월에 산방화서에 2∼5개씩 달린다. 열매는 둥글고 6∼7월에 흑색으로 익는다. ☞ 산벚나무보다 꽃이 산방화서로 달리고 가지가 갈색으로 가늘다.,"한국(전국), 일본",화피(樺皮),나무껍질을 봄부터 가을에 채취하여 햇볕에 말린다.,"각기, 견비통, 경풍, 경혈, 과실식체, 과실중독, 대하, 소아경풍, 수종, 식해어체, 심장염, 완화, 유옹, 유종, 음수체, 주독, 진통, 치통, 통경, 통변, 피부소양증, 피로회복, 해독, 해소, 해수, 어지럼구토",(내복): 탕전(湯煎)하여 복용한다. (외용): 물로 달여서 상처 부위를 닦아 낸다.
171,피자식물/쌍자엽식물,앵도나무,장미과(Rosaceae),Prunus tomentosa Thunb.,식재하는 낙엽관목으로 높이가 3m에 달하고 가지가 많이 갈라지며 나무껍질이 흑갈색이다. 잎은 도란형 또는 타원형이고 급한 점첨두이며 원저이고 뒷면에 흰 융모가 밀생하고 가장자리에 잔톱니가 있다. 꽃은 연한 홍색으로 4월 잎보다 먼저 핀다. 열매는 핵과로 잔털이 있고 둥글며 6월에 적색으로 익는다. ☞ 이스라지보다 잎에 털이 현저히 많고 꽃가루는 거의 없다.,"한국(전국), 중국",욱리인(郁李仁),"과실 성숙기에 채취, 과육을 제거하고 종자를 햇볕에 말린다.","과식, 비만, 사교독, 삼충, 유정증, 익비, 통경, 통리수도, 환각치료, 황달",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다.
172,피자식물/쌍자엽식물,다정큼나무,장미과(Rosaceae),Raphiolepis indica var. umbellata (Thunb.) Ohashi,해안가 산기슭에 자라는 상록관목으로 높이가 2∼4m에 달하고 잔가지가 돌려나기한다. 잎은 어긋나기하지만 가지 끝에서 모여나는 것 같이 보이고 장타원형 또는 도란상이며 둔두이고 가장자리에 둔한 톱니가 있다. 꽃은 백색으로 4∼6월에 원추화서로 달린다. 열매는 이과로 둥글며 검게 익는다. ☞ 잎은 상록이고 자방이 2실이며 화서는 원뿔꼴이고 꽃받침은 탈락성이다.,"한국(남부), 일본, 대만",춘화목(春花木),잎·가지·뿌리를 채취하여 햇볕에 말린다.,"해독, 항균, 지혈, 구충, 창독, 구내염.",(내복): 탕전(湯煎)하여 복용한다. (외용): 짓찧어 상처 부위에 바른다.
173,피자식물/쌍자엽식물,병아리꽃나무,장미과(Rosaceae),Rhodotypos scandens (Thunb.) Makino,산기슭에 자라는 낙엽관목으로 높이가 2m에 달하고 가지에 털이 없다. 잎은 마주나기하며 난형 또는 장난형이고 점첨두 원저이며 뾰족한 톱니가 있고 표면에 주름이 많고 견모가 있다. 꽃은 백색으로 5월에 가지 끝에 1개씩 달리며 꽃받침이 평편하다. 열매는 견과이며 윤체가 있는 원통형으로 9월에 익는다. ☞ 황매화보다 잎은 마주나기하고 꽃은 백색이며 4수성이다.,"한국(중남부), 중국, 일본",계마(鷄麻),열매와 뿌리를 채취하여 햇볕에 말린다.,"보신, 보혈, 혈허",(내복): 탕전(湯煎)하여 복용한다.
174,피자식물/쌍자엽식물,생열귀나무,장미과(Rosaceae),Rosa davurica Pall.,산골짜기 물가에 자라는 낙엽관목으로 높이 1∼1.5m이고 원줄기는 적갈색이며 털이 없다. 잎은 어긋나기하고 5∼9개의 소엽으로 구성된 우상복엽이며 소엽은 타원형이고 예두 원저이며 뒷면에 작은 선점이 밀생한다. 꽃은 홍자색으로 6월에 새가지 끝에 1∼3개가 달린다. 열매는 둥글며 좁은 꽃받침이 달려있다. ☞ 인가목에 비해 엽병에 가시가 있고 소엽 뒷면에 선점이 있다.,"한국(중북부), 중국, 일본, 러시아, 몽고",자매과(刺每果),열매를 채취하여 햇볕에 말린다.,"건비소화, 교취, 보위, 월경부조, 위통.",(내복): 탕전(湯煎)하여 복용한다.
175,피자식물/쌍자엽식물,찔레꽃,장미과(Rosaceae),Rosa multiflora Thunb.,가지가 밑으로 처진다. 잎은 어긋나기하며 우상복엽이고 소엽은 5~9개이고 타원형 또는 도란형이며 양 끝이 좁고 가장자리에 잔 톱니가 있다. 꽃은 백색 또는 연한 홍색으로 5월에 새 가지 끝에 원추화서로 달린다. 열매는 수과로 백색이고 털이 있다. ☞ 용가시나무보다 줄기는 서고 끝은 밑으로 처지며 턱잎에 빗살 같은 톱니가 있다.,"한국(전국), 중국, 일본",영실(營實),과실을 9∼10월 반 정도 성숙하였을 때 채취하여 그늘에 말린다.,"각기, 강장, 개선, 결절종, 관절염, 교취, 복통, 야뇨, 옹종, 요통, 월경이상, 음왜, 발기불능, 이수제열, 자상, 제습, 조갈증, 조루증, 창종, 치통, 통경, 통리수도, 풍, 풍습, 하리, 해독, 활혈, 활혈해독",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다. (외용): 짓찧어서 상처 부위에 붙이거나 달여서 상처 부위를 닦아 낸다.
203,피자식물/쌍자엽식물,편두,콩과(Leguminosae),Lablab purpureus (L.) Sweet,재배하는 일초로서 길이 6m가량이며 털이 있거나 없다. 잎은 3개의 소엽으로 구성되며 넓은 난형이며 갑자기 뾰족해지고 넓은 예저이며 가장자리가 밋밋하다. 꽃은 자주색 또는 백색으로 7∼9월에 잎겨드랑이에서 자라는 긴 꽃차례에 이삭처럼 달린다. 열매는 꼬투리열매로 낫 같고 종자는 5개 정도 들어 있다. ☞ 원산지에서는 덩굴성 다년초이지만 우리나라에서는 1년초이다.,"한국(전국), 열대지방",백편두(白扁豆),종자 성숙기에 채취하여 햇볕에 말린다.,"가스중독, 건비, 건위, 곽란, 구역증, 구토, 근계, 소감독, 소서 식강어체, 식욕감소, 약물중독, 적백대하, 조갈증, 주독, 주중독, 지구역, 척추질환, 중독, 하리, 해독, 해열, 화농, 화습, 화종",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 하여 복용한다.
144,피자식물/쌍자엽식물,도깨비부채,범의귀과(Saxifragaceae),Rodgersia podophylla A.Gray,심산의 응달에 자라는 다년초로 높이가 1m에 달한다. 잎은 장상복엽이며 뿌리에 돋은 잎은 잎자루가 길고 윗부분의 것은 1∼4개의 소엽이 된다. 소엽은 도란형이고 얕게 갈라지며 불규칙한 톱니가 있다. 꽃은 황백색으로 6∼7월에 핀다. 열매는 튀는열매로 넓은 난형이다. ☞ 개병풍보다 잎이 장상복엽이다.,"한국(중부이북), 중국, 일본","반룡칠(盤龍七), 암타(巖陀)",뿌리줄기를 채취하여 햇볕에 말린다.,"거풍습, 관절염, 월경불순, 타박상, 해열, 활혈조경",(내복): 탕전(湯煎)하여 복용한다. (내복): 짓찧어 상처 부위에 바른다.
145,피자식물/쌍자엽식물,바위취,범의귀과(Saxifragaceae),Saxifraga stolonifera Curtis.,관상용으로 식재하는 상록 다년초로 높이가 40㎝에 달한다. 잎은 모여나며 포복지 끝에서 새싹을 형성한다. 잎은 신장형이며 가장자리에 치아상의 얕은 결각이 있다. 꽃은 백색으로 5월에 핀다. 열매는 튀는열매로 난상 원형이고 종자는 난형이며 사마귀 같은 돌기가 있다. ☞ 바위떡풀보다 잎 뒷면은 자주색이며 포복지가 있다.,"한국(중남부), 중국, 일본",호이초(虎耳草),전초를 여름부터 가을에 채취하여 햇볕에 말린다.,"동상, 백일해, 보익, 열광, 이명, 종기, 종독, 중이염, 치열, 폐혈, 풍, 해독, 해수, 해열, 화상",(내복): 탕전(湯煎)하여 복용한다. (외용): 즙을 내어 상처부위에 바르거나 달여서 상처부위를 닦아낸다.
146,피자식물/쌍자엽식물,돈나무,돈나무과(Pittosporaceae),Pittosporum tobira (Thunb.) W.T.Aiton,바닷가 산기슭에 자라는 상록관목으로 높이 2∼3m이고 가지에 털이 없으며 뿌리나 껍질에서 냄새가 난다. 잎은 어긋나기하지만 가지 끝에 모여 달리고 윤채가 있으며 혁질이고 둔두이며 예저이다. 꽃은 양성화로 5∼6월에 취산화서에 달린다. 열매는 튀는열매로 원형 또는 넓은 타원형이고 털이 밀생하며 적색 종자가 나온다.,"한국(남부), 중국, 일본, 대만",칠리향(七里香),"가지, 엽과 나무껍질을 연중 채취하여 햇볕에서 말린다.","개선, 결막염, 고혈압, 골절증, 곽란, 관절염, 동맥경화, 소종독, 습진, 이질, 임비, 종독, 치통, 타박상, 피부염",(내복): 탕전(湯煎)하여 복용한다. (외용): 물로 달여 상처 부위를 닦아 내고 짓찧어 붙인다.
147,피자식물/쌍자엽식물,히어리,조록나무과(Hamamelidaceae),Corylopsis gotoana var. coreana (Uyeki) T.Yamaz.,산기슭에 자라는 낙엽관목으로 높이 1∼2m이며 껍질눈이 밀생하고 겨울눈은 방추형이다. 잎은 어긋나기하며 난상 원형이고 단첨두 심장저이며 뾰족한 톱니가 있고 뒷면은 회백색이다. 꽃은 황색으로 피고 4월에 8∼12개의 꽃이 총상화서로 달린다. 열매는 튀는열매로 2실이며 2개로 갈라져서 흑색 종자가 나온다.,"한국(남부), 특산",납판화근(蠟瓣花根),뿌리껍질과 전초를 채취하여 말린다.,"구역, 번란혼미, 오한발열",(내복): 탕전(湯煎)하여 복용한다.
148,피자식물/쌍자엽식물,풍년화,조록나무과(Hamamelidaceae),Hamamelis japonica Siebold & Zucc.,식재하는 낙엽관목이다. 잎은 어긋나기하며 약간 찌그러진 마름모형과 비슷한 타원형 또는 도란형이고 둔두이며 절저 또는 다소 심장저이고 윗부분에는 물결형 톱니가 있다. 꽃은 황색으로 피고 4월에 잎겨드랑이에 1개 또는 여러 개가 모여 달린다. 열매는 튀는열매로 난형이고 윤채가 있는 검은 종자가 나온다. ☞ 히어리보다 4수성이고 속생 또는 수상화서로 달린다.,"한국(중남부), 일본",풍년화(ㅁ年花),꽃을 채취하여 햇볕에 말린다.,"객혈, 설사, 수감, 지해, 지혈, 청서해열, 치질, 해수, 화상",(내복): 탕전(湯煎)하여 복용한다.
149,피자식물/쌍자엽식물,두충,두충과(Eucommiaceae),Eucommia ulmoides Oliv.,약용으로 심는 낙엽교목으로 높이가 20m에 달한다. 잎은 어긋나기하며 타원형이고 넓은 예저 또는 둔저로서 끝이 갑자기 좁아져서 뾰족해지고 양면에 털이 거의 없으며 가장자리에 예리한 톱니가 있다. 꽃은 2가화로서 잎과 동시에 피고 잎겨드랑이에 달린다. 열매는 장타원형이고 날개가 있다.,"한국(전국), 중국",두충(杜沖),나무껍질을 5월경에 벗겨 코르크층을 깎아 낸 다음 햇볕에 말린다.,"간 기능회복, 강근골, 강장, 강장보호, 고혈압, 관절염, 근골동통, 근육통, 근골위약, 근육통, 기부족, 기억력감퇴, 보간신, 사태, 신경통, 안태, 요통, 음낭습, 발기불능, 이완출혈, 정력증진, 진정, 진통, 척추질환, 척추카리에스, 통리수도, 피부노화방지, 하지근무력증, 어지럼",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 하여 복용하거나 술에 담가 복용한다.
150,피자식물/쌍자엽식물,짚신나물,장미과(Rosaceae),Agrimonia pilosa Ledeb.,들이나 길가에 자라는 다년초로 높이가 30∼100㎝이고 전체에 털이 있다. 잎은 어긋나기하고 우상복엽으로서 5∼7개의 소엽이 있으며 소엽은 장타원형 또는 도란형이다. 꽃은 황색으로 6∼8월 원줄기와 가지 끝에 총상화서로 달린다. 열매는 수과로 꽃받침통 안에 들어 있다. ☞ 산짚신나물보다 턱잎이 작고 황색선점이 있으며 꽃이 밀생한다.,"한국(전국), 중국, 일본, 러시아",선학초(仙鶴草),전초를 잎이 풍성한 개화 직전에 채취하여 햇볕에 말린다.,"간장암, 강장보호, 개선, 거담, 건위, 경선결핵, 관절염, 구충, 뇌암, 누혈, 대장암, 대하, 방광암, 백혈병, 부인하혈, 비암, 살충, 식도암, 신장염, 옹종, 위궤양, 위암, 자궁암, 자궁탈수, 장염, 장위카타르, 적백리, 전립선암, 지혈, 직장암, 치핵, 토혈각혈, 폐암, 하리, 해독, 후두암",(내복): 탕전(湯煎)하거나 가루약으로 또는 즙을 내어 복용한다. (외용): 짓찧어 상처 부위에 붙인다.
151,피자식물/쌍자엽식물,풀명자,장미과(Rosaceae),Chaenomeles japonica (Thunb.) Lindl. ex Spach,일본 원산의 낙엽소관목으로 높이가 1m에 달하고 줄기의 밑부분이 반 정도 눕고 가지가 가시로 변한 것이 많다. 잎은 어긋나기하고 넓은 난형 또는 도란형이며 원두 또는 둔두이고 가장자리에 톱니가 있다. 꽃은 분홍색으로 피고 4월 짧은 가지에 1개 또는 2∼4개씩 달린다. 열매는 이과로 타원형이다. ☞ 산당화보다 키가 작으며 옆의 가지가 눕고 소지에 작은 돌기가 있다.,"한국(중남부), 일본",모과(木瓜),과실을 성숙기에 채취하여 알맞게 썰어 햇볕에 말린다.,"각기, 강장보호, 건위, 근골위약, 근육통, 만성피로, 요통, 위장염, 장결핵, 장위카타르, 장출혈, 제습, 주독, 풍, 풍비, 해수",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다.
152,피자식물/쌍자엽식물,모과나무,장미과(Rosaceae),Chaenomeles sinensis (Thouin) Koehne,식재하는 낙엽교목으로 높이가 10m에 달하고 2년지는 자갈색으로 윤채가 있다. 잎은 어긋나기하고 넓은 난형 또는 장타원형이며 양 끝이 좁고 가장자리에 뾰족한 톱니가 있다. 꽃은 연한 홍색으로 5월에 핀다. 열매는 이과로 향기가 있으며 9월에 황색으로 익는다.,"한국(전국), 일본","모과(木瓜), 명사(溟)",과실을 성숙기에 채취하여 알맞게 썰어 햇볕에 말린다.,"각기, 감기, 강장보호, 거풍, 건비위, 결핵, 곽란, 구토, 근육통, 금창, 기관지염, 보혈, 소담, 소아감적, 소아경풍, 소아두창, 수종, 식행체, 요부염좌, 유즙결핍, 음수체, 장결핵, 중풍, 지구역, 진통, 탄산토산, 통기, 통리수도, 폐결핵, 폐기천식, 하지근무력증, 해수, 활혈",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다. ☞ 과용시 치아와 뼈가 손상될 수도 있다.
153,피자식물/쌍자엽식물,야광나무,장미과(Rosaceae),Malus baccata (L.) Borkh,낙엽소교목으로 높이가 5m에 달하고 가지에 털이 없다. 잎은 어긋나기하고 타원형 또는 난형으로 점첨두 예저이며 가장자리에 잔 톱니가 있고 잎자루가 길며 털이 없다. 꽃은 백색 또한 연한 홍색으로 5월에 핀다. 열매는 둥글고 10월에 짙은 갈색으로 익으며 종자는 불규칙한 5개의 줄이 있다. ☞ 산사나무보다 잎이 얕은 결각상으로 갈라진다.,"한국(중북부), 중국, 러시아",산사(山ㅁ),과실을 성숙기에 채취하여 횡으로 잘라 햇볕에 말린다.,"곽란, 구충, 구토, 선혈, 하리",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다.
154,피자식물/쌍자엽식물,산사나무,장미과(Rosaceae),Crataegus pinnatifida Bunge,산기슭에 자라는 낙엽교목으로 높이가 6m에 달하고 가지에 털이 없으며 가시가 있다. 잎은 난형이고 절저 또는 넓은 예저이며 표면에 털이 없으나 뒷면에 얕은 융모와 결각이 있다. 꽃은 백색으로 피고 5월 산방화서로 달린다. 열매는 이과로 둥글고 흰 반점이 있다. ☞ 야광나무에 비해 잎이 우상으로 갈라진다.,"한국(전국), 중국, 러시아",산사자(山ㅁ子),과실을 성숙기에 채취하여 횡으로 잘라 햇볕에 말린다.,"간경변증, 감비, 강심제, 강장보호, 건위, 경혈, 고지방혈증, 고지혈증, 고혈압, 곽란, 동상, 소식화적, 소화불량, 요통, 월경이상, 유즙결핍, 장염, 장위카타르, 장출혈, 정혈, 주독, 진통, 활혈, 활혈산어",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다.
155,피자식물/쌍자엽식물,뱀딸기,장미과(Rosaceae),Duchesnea indica (Andr.) Focke,"햇볕이 잘 드는 곳에 자라는 다년초로 줄기는 긴 털이 있고 열매가 익을 무렵에는 마디에서 뿌리가 내린다. 잎은 어긋나기하며 3출엽이고 소엽은 난형으로 둔두, 예저이고 뒷면 엽맥을 따라 긴 털이 있다. 꽃은 황색으로 피고 4∼5월 잎겨드랑이에 자라는 긴 잎자루에 1개씩 달린다. 열매는 수과로 점처럼 흩어져 있다. ☞ 땃딸기에 비해 꽃이 황색이다.","한국(전국), 중국, 일본, 러시아, 인도",사매(蛇ㅁ),전초를 초여름에 채취하여 햇볕에 말린다.,"각혈, 각기, 골수암, 당뇨병, 대열, 상한, 소종해독, 양혈거풍, 열독증, 옹종, 월경이상, 위염, 장위카타르, 제독, 종독, 부기, 중풍, 지해지혈, 진해, 청열양혈, 타박상, 태독, 토혈, 통경, 통혈, 폐기천식, 해독, 해수, 해열, 혈압조절, 화상, 활혈",(내복): 탕전(湯煎)하거나 즙을 내어 복용한다. (외용): 짓찧어서 상처 부위에 붙이거나 가루 내어 상처 부위에 개어 붙인다.
